Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Graduated,Profession
1,24/11/2023,CUST001,Male,34,Beauty,3,50,150,Yes,Engineer
2,27/02/2023,CUST002,Female,,Clothing,2,500,1000,Yes,Healthcare
3,13/01/2023,CUST003,Male,50,Electronics,1,30,30,No,
4,21/05/2023,CUST004,Male,37,Clothing,1,500,500,No,Executive
5,06/05/2023,CUST005,Male,30,Beauty,2,50,100,No,Marketing
6,25/04/2023,CUST006,Female,,Beauty,1,30,30,Yes,Doctor
7,13/03/2023,CUST007,Male,46,Clothing,2,25,50,Yes,Doctor
8,22/02/2023,CUST008,Male,30,Electronics,4,25,100,Yes,Artist
9,13/12/2023,CUST009,Male,63,Electronics,2,300,600,Yes,Artist
10,07/10/2023,CUST010,Female,52,Clothing,4,50,200,No,Healthcare
11,14/02/2023,CUST011,,23,Clothing,2,50,100,No,Healthcare
12,30/10/2023,CUST012,Male,35,Beauty,3,25,75,No,Healthcare
13,05/08/2023,CUST013,Male,22,Electronics,3,500,1500,Yes,Artist
14,17/01/2023,CUST014,Male,64,Clothing,4,30,120,No,Healthcare
15,16/01/2023,CUST015,Female,,Electronics,4,500,2000,No,Doctor
16,17/02/2023,CUST016,Male,19,Clothing,3,500,1500,Yes,Artist
17,22/04/2023,CUST017,Female,,Clothing,4,25,100,Yes,Lawyer
18,30/04/2023,CUST018,,47,Electronics,2,25,50,Yes,Artist
19,16/09/2023,CUST019,Female,62,Clothing,2,25,50,Yes,Artist
20,05/11/2023,CUST020,Male,22,Clothing,3,300,900,Yes,Lawyer
21,14/01/2023,CUST021,Female,50,Beauty,1,500,500,No,Executive
22,15/10/2023,CUST022,Male,18,Clothing,2,50,100,No,Lawyer
23,12/04/2023,CUST023,Female,,Clothing,4,30,120,Yes,Artist
24,29/11/2023,CUST024,,49,Clothing,1,300,300,No,Executive
25,26/12/2023,CUST025,Female,64,Beauty,1,50,50,Yes,Healthcare
26,07/10/2023,CUST026,Female,28,Electronics,2,500,1000,No,Executive
27,03/08/2023,CUST027,Female,38,Beauty,2,25,50,Yes,Engineer
28,23/04/2023,CUST028,Female,43,Beauty,1,500,500,Yes,Healthcare
29,18/08/2023,CUST029,Female,42,Electronics,1,30,30,No,Lawyer
30,29/10/2023,CUST030,Female,39,Beauty,3,300,900,Yes,Lawyer
31,23/05/2023,CUST031,Male,44,Electronics,4,300,1200,No,Lawyer
32,04/01/2023,CUST032,Male,30,Beauty,3,30,90,Yes,Artist
33,23/03/2023,CUST033,Female,50,Electronics,2,50,100,No,Artist
34,24/12/2023,CUST034,Female,51,Clothing,3,50,150,Yes,Artist
35,05/08/2023,CUST035,Female,58,Beauty,3,300,900,Yes,Doctor
36,24/06/2023,CUST036,,52,Beauty,3,300,900,Yes,Artist
37,23/05/2023,CUST037,Female,18,Beauty,3,25,75,Yes,Artist
38,21/03/2023,CUST038,Male,38,Beauty,4,50,200,Yes,Artist
39,21/04/2023,CUST039,Male,23,Clothing,4,30,120,Yes,Artist
40,22/06/2023,CUST040,Male,45,Beauty,1,50,50,Yes,Artist
41,22/02/2023,CUST041,Male,34,Clothing,2,25,50,No,Healthcare
42,17/02/2023,CUST042,Male,22,Clothing,3,300,900,Yes,Executive
43,14/07/2023,CUST043,Female,48,Clothing,1,300,300,No,Healthcare
44,19/02/2023,CUST044,Female,,Clothing,1,25,25,Yes,Artist
45,03/07/2023,CUST045,Female,55,Electronics,1,30,30,No,Artist
46,26/06/2023,CUST046,Female,20,Electronics,4,300,1200,No,Lawyer
47,06/11/2023,CUST047,Female,40,Beauty,3,500,1500,No,Entertainment
48,16/05/2023,CUST048,Male,54,Electronics,3,300,900,Yes,Artist
49,23/01/2023,CUST049,Female,,Electronics,2,500,1000,No,Healthcare
50,24/08/2023,CUST050,Female,27,Beauty,3,25,75,No,Artist
51,02/10/2023,CUST051,,27,Beauty,3,25,75,Yes,Lawyer
52,05/03/2023,CUST052,Female,36,Beauty,1,300,300,No,Lawyer
53,13/07/2023,CUST053,Male,34,Electronics,2,50,100,Yes,Doctor
54,10/02/2023,CUST054,Female,38,Electronics,3,500,1500,Yes,Doctor
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,Yes,Executive
56,31/05/2023,CUST056,Female,26,Clothing,3,300,900,Yes,Lawyer
57,18/11/2023,CUST057,Female,63,Beauty,1,30,30,Yes,Entertainment
58,13/11/2023,CUST058,Male,18,Clothing,4,300,1200,Yes,Artist
59,05/07/2023,CUST059,Male,62,Clothing,1,50,50,Yes,Artist
60,23/10/2023,CUST060,Male,30,Beauty,3,50,150,Yes,Artist
61,09/04/2023,CUST061,Male,21,Beauty,4,50,200,No,Healthcare
62,27/12/2023,CUST062,Male,18,Beauty,2,50,100,Yes,Artist
63,05/02/2023,CUST063,Male,57,Electronics,2,25,50,No,Artist
64,24/01/2023,CUST064,Male,,Clothing,4,25,100,Yes,Artist
65,05/12/2023,CUST065,Male,51,Electronics,4,500,2000,Yes,Entertainment
66,27/04/2023,CUST066,,45,Electronics,1,30,30,Yes,Entertainment
67,29/05/2023,CUST067,Female,48,Beauty,4,300,1200,Yes,Artist
68,10/02/2023,CUST068,Male,25,Electronics,1,300,300,Yes,Lawyer
69,30/04/2023,CUST069,Female,56,Beauty,3,25,75,No,Healthcare
70,21/02/2023,CUST070,Female,43,Clothing,1,300,300,Yes,Artist
71,14/07/2023,CUST071,Female,51,Beauty,4,25,100,No,Entertainment
72,23/05/2023,CUST072,Female,20,Electronics,4,500,2000,Yes,Artist
73,21/08/2023,CUST073,Male,29,Electronics,3,30,90,Yes,Artist
74,22/11/2023,CUST074,Female,18,Beauty,4,500,2000,Yes,Healthcare
75,06/07/2023,CUST075,Male,61,Beauty,4,50,200,Yes,Artist
76,25/03/2023,CUST076,Female,,Electronics,2,50,100,Yes,Lawyer
77,09/07/2023,CUST077,Female,47,Clothing,2,50,100,No,Entertainment
78,01/07/2023,CUST078,Female,47,Clothing,3,500,1500,Yes,Artist
79,18/04/2023,CUST079,Male,34,Beauty,1,300,300,Yes,Doctor
80,10/12/2023,CUST080,Female,64,Clothing,2,30,60,Yes,Artist
81,17/05/2023,CUST081,Male,40,Electronics,1,50,50,No,Engineer
82,26/12/2023,CUST082,Female,32,Beauty,4,50,200,Yes,Lawyer
83,16/12/2023,CUST083,Male,54,Electronics,2,50,100,No,Lawyer
84,28/11/2023,CUST084,Female,38,Electronics,3,30,90,Yes,Artist
85,06/02/2023,CUST085,Male,31,Clothing,3,50,150,Yes,Artist
86,08/11/2023,CUST086,Male,19,Beauty,3,30,90,Yes,Executive
87,22/11/2023,CUST087,,28,Beauty,2,50,100,Yes,Lawyer
88,29/03/2023,CUST088,Male,56,Clothing,1,500,500,No,Healthcare
89,01/10/2023,CUST089,Female,55,Electronics,4,500,2000,Yes,Artist
90,06/05/2023,CUST090,Female,51,Electronics,1,30,30,Yes,Healthcare
